pair_id,premise,hypothesis,reg_pred,reg_target,reg_error,clf_pred,clf_target,clf_correct,premise_len,hypothesis_len
17,,,3.1827189922332764,2.299999952316284,0.8827190399169922,0,0,True,0,0
19,,,4.359003067016602,4.900000095367432,0.5409970283508301,1,1,True,0,0
21,,,3.8449902534484863,3.0,0.8449902534484863,0,0,True,0,0
34,,,3.1867146492004395,3.9000000953674316,0.7132854461669922,0,2,False,0,0
36,,,2.8662219047546387,3.5,0.6337780952453613,0,0,True,0,0
38,,,3.4130139350891113,3.5,0.08698606491088867,0,2,False,0,0
41,,,3.913402795791626,4.400000095367432,0.48659729957580566,0,1,False,0,0
43,,,4.668708801269531,4.0,0.6687088012695312,1,0,False,0,0
48,,,2.9562454223632812,3.700000047683716,0.7437546253204346,0,0,True,0,0
61,,,3.3316807746887207,3.9000000953674316,0.5683193206787109,0,0,True,0,0
66,,,3.908198118209839,4.800000190734863,0.8918020725250244,0,1,False,0,0
68,,,3.585768222808838,4.599999904632568,1.0142316818237305,0,0,True,0,0
76,,,3.7702295780181885,2.9000000953674316,0.8702294826507568,0,0,True,0,0
80,,,2.9989724159240723,1.2999999523162842,1.698972463607788,0,0,True,0,0
96,,,1.8870267868041992,1.2000000476837158,0.6870267391204834,0,0,True,0,0
101,,,4.731150150299072,4.0,0.7311501502990723,1,0,False,0,0
104,,,3.911652088165283,4.300000190734863,0.3883481025695801,0,1,False,0,0
109,,,4.016652584075928,4.699999809265137,0.683347225189209,0,1,False,0,0
110,,,3.1612415313720703,3.9000000953674316,0.7387585639953613,0,0,True,0,0
128,,,3.0353200435638428,2.299999952316284,0.7353200912475586,0,0,True,0,0
137,,,3.5517537593841553,2.799999952316284,0.7517538070678711,0,0,True,0,0
138,,,2.412526845932007,1.399999976158142,1.0125268697738647,0,0,True,0,0
153,,,4.2603912353515625,4.5,0.2396087646484375,0,1,False,0,0
154,,,3.5697340965270996,2.684999942779541,0.8847341537475586,2,2,True,0,0
162,,,3.4966111183166504,3.799999952316284,0.3033888339996338,0,1,False,0,0
168,,,3.3632781505584717,3.799999952316284,0.4367218017578125,0,2,False,0,0
171,,,4.601310729980469,3.700000047683716,0.9013106822967529,1,0,False,0,0
172,,,3.6929941177368164,3.700000047683716,0.007005929946899414,0,1,False,0,0
175,,,3.754971504211426,4.199999809265137,0.44502830505371094,0,1,False,0,0
177,,,3.6759557723999023,4.099999904632568,0.424044132232666,0,1,False,0,0
180,,,4.600549697875977,3.5,1.1005496978759766,1,0,False,0,0
181,,,3.974367380142212,4.599999904632568,0.6256325244903564,1,1,True,0,0
193,,,4.163025856018066,4.599999904632568,0.43697404861450195,0,1,False,0,0
196,,,3.5034847259521484,3.5999999046325684,0.09651517868041992,0,2,False,0,0
204,,,3.581366539001465,4.0,0.41863346099853516,0,1,False,0,0
207,,,3.414551019668579,3.299999952316284,0.11455106735229492,0,2,False,0,0
208,,,3.809208869934082,4.5,0.690791130065918,0,1,False,0,0
209,,,3.840170383453369,4.199999809265137,0.3598294258117676,0,1,False,0,0
221,,,4.566018104553223,3.9000000953674316,0.666018009185791,1,0,False,0,0
222,,,4.698631286621094,3.9000000953674316,0.7986311912536621,1,1,True,0,0
230,,,3.722933292388916,3.0999999046325684,0.6229333877563477,2,2,True,0,0
235,,,1.6113605499267578,2.700000047683716,1.088639497756958,0,0,True,0,0
239,,,1.676487684249878,2.299999952316284,0.6235122680664062,0,0,True,0,0
242,,,4.56671667098999,3.9000000953674316,0.6667165756225586,1,0,False,0,0
243,,,3.2117486000061035,3.9000000953674316,0.6882514953613281,0,0,True,0,0
244,,,3.2155637741088867,3.9000000953674316,0.6844363212585449,0,2,False,0,0
247,,,3.376213312149048,3.5999999046325684,0.2237865924835205,0,2,False,0,0
263,,,4.475412845611572,4.099999904632568,0.3754129409790039,1,0,False,0,0
264,,,4.4733476638793945,2.799999952316284,1.6733477115631104,1,0,False,0,0
267,,,3.576582908630371,2.9000000953674316,0.6765828132629395,0,0,True,0,0
268,,,3.1548280715942383,2.5,0.6548280715942383,0,0,True,0,0
271,,,3.74120831489563,3.0999999046325684,0.6412084102630615,0,0,True,0,0
274,,,4.727785110473633,3.5999999046325684,1.1277852058410645,1,0,False,0,0
278,,,3.334076166152954,2.799999952316284,0.5340762138366699,0,0,True,0,0
281,,,3.300225257873535,4.0,0.6997747421264648,0,0,True,0,0
290,,,3.5706088542938232,3.0,0.5706088542938232,0,0,True,0,0
298,,,2.45591139793396,1.7999999523162842,0.6559114456176758,0,0,True,0,0
314,,,3.620478868484497,3.799999952316284,0.1795210838317871,0,2,False,0,0
318,,,2.2866628170013428,1.7000000476837158,0.586662769317627,0,0,True,0,0
322,,,4.006917953491211,4.699999809265137,0.6930818557739258,0,1,False,0,0
326,,,1.5875658988952637,2.299999952316284,0.7124340534210205,0,0,True,0,0
334,,,3.7085678577423096,3.0999999046325684,0.6085679531097412,0,0,True,0,0
343,,,4.14239501953125,4.800000190734863,0.6576051712036133,0,1,False,0,0
345,,,2.503797769546509,3.5,0.9962022304534912,0,0,True,0,0
350,,,2.5640110969543457,3.200000047683716,0.6359889507293701,0,0,True,0,0
353,,,4.738368511199951,3.200000047683716,1.5383684635162354,1,0,False,0,0
357,,,3.1501893997192383,3.0999999046325684,0.05018949508666992,0,2,False,0,0
365,,,4.234384536743164,4.400000095367432,0.16561555862426758,1,0,False,0,0
369,,,3.512105703353882,2.799999952316284,0.7121057510375977,0,0,True,0,0
401,,,3.1847333908081055,3.700000047683716,0.5152666568756104,0,0,True,0,0
405,,,2.8478951454162598,3.5,0.6521048545837402,0,0,True,0,0
406,,,4.1079277992248535,3.5999999046325684,0.5079278945922852,1,1,True,0,0
407,,,1.1678789854049683,1.7999999523162842,0.6321209669113159,0,0,True,0,0
414,,,3.96327543258667,4.699999809265137,0.7367243766784668,0,1,False,0,0
416,,,3.1736886501312256,3.799999952316284,0.6263113021850586,0,0,True,0,0
420,,,3.229736089706421,2.200000047683716,1.029736042022705,0,0,True,0,0
425,,,3.4666731357574463,3.4000000953674316,0.06667304039001465,0,2,False,0,0
426,,,4.633659362792969,3.5999999046325684,1.0336594581604004,1,0,False,0,0
429,,,3.61772084236145,2.5999999046325684,1.0177209377288818,0,0,True,0,0
430,,,4.052101135253906,3.9000000953674316,0.1521010398864746,1,0,False,0,0
431,,,3.453514575958252,3.5999999046325684,0.1464853286743164,0,2,False,0,0
444,,,4.024651050567627,3.200000047683716,0.8246510028839111,0,0,True,0,0
455,,,3.0271034240722656,4.199999809265137,1.172896385192871,0,1,False,0,0
463,,,3.705634117126465,3.200000047683716,0.505634069442749,2,2,True,0,0
464,,,4.45720100402832,3.5,0.9572010040283203,1,0,False,0,0
466,,,3.696876049041748,4.800000190734863,1.1031241416931152,2,2,True,0,0
469,,,3.9225168228149414,4.5,0.5774831771850586,0,1,False,0,0
471,,,3.5193748474121094,2.700000047683716,0.8193747997283936,0,0,True,0,0
472,,,3.247715473175049,3.799999952316284,0.5522844791412354,0,0,True,0,0
474,,,3.757723331451416,3.0350000858306885,0.7227232456207275,2,2,True,0,0
478,,,3.387960433959961,4.085000038146973,0.6970396041870117,0,2,False,0,0
480,,,3.5557005405426025,3.5999999046325684,0.04429936408996582,0,2,False,0,0
481,,,3.822570323944092,4.5,0.6774296760559082,0,1,False,0,0
483,,,3.329390287399292,2.5,0.829390287399292,0,0,True,0,0
492,,,3.3102214336395264,3.299999952316284,0.010221481323242188,0,2,False,0,0
493,,,3.603665351867676,2.4000000953674316,1.2036652565002441,0,0,True,0,0
498,,,2.9891011714935303,3.700000047683716,0.7108988761901855,0,0,True,0,0
504,,,3.100346326828003,3.700000047683716,0.5996537208557129,0,0,True,0,0
517,,,3.775707721710205,2.799999952316284,0.9757077693939209,0,0,True,0,0
532,,,3.7780961990356445,3.0999999046325684,0.6780962944030762,2,2,True,0,0
536,,,3.384552001953125,2.4000000953674316,0.9845519065856934,0,0,True,0,0
539,,,3.084568977355957,2.299999952316284,0.7845690250396729,0,0,True,0,0
549,,,2.6273598670959473,3.5,0.8726401329040527,0,0,True,0,0
554,,,4.210935115814209,4.400000095367432,0.18906497955322266,0,1,False,0,0
559,,,3.719459056854248,3.0999999046325684,0.6194591522216797,0,0,True,0,0
562,,,3.066091299057007,2.5,0.5660912990570068,0,0,True,0,0
569,,,3.7894821166992188,2.9000000953674316,0.8894820213317871,0,0,True,0,0
571,,,3.494743824005127,2.5999999046325684,0.8947439193725586,2,2,True,0,0
575,,,3.404123306274414,2.299999952316284,1.1041233539581299,0,0,True,0,0
578,,,3.419048547744751,2.5,0.919048547744751,0,0,True,0,0
584,,,3.7053191661834717,4.300000190734863,0.5946810245513916,2,2,True,0,0
595,,,2.6981959342956543,3.5999999046325684,0.9018039703369141,0,0,True,0,0
602,,,3.383652687072754,2.799999952316284,0.5836527347564697,2,0,False,0,0
607,,,2.325355291366577,3.200000047683716,0.8746447563171387,0,0,True,0,0
612,,,2.6894688606262207,3.0,0.3105311393737793,0,1,False,0,0
614,,,3.587350606918335,3.934999942779541,0.34764933586120605,0,2,False,0,0
615,,,3.4094905853271484,4.199999809265137,0.7905092239379883,0,0,True,0,0
